Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating
Mere Bina,Nikhil Dsouza,BollywoodRomantic,Crook,9.6/10
Ishq Chupta Nahi Chupane Se,Abhijeet,BollywoodSad,Bewaffa,8.9/10
Ishq Chupta Nahi,Abhijeet,BollywoodRomantic,Bewafaa,8.9/10
Tu Jahaan,Sonu Nigam,BollywoodRomanticSad,Salaam Namaste,9.4/10
Girls Like To Swing,Sunidhi Chauhan,BollywoodDance,Dil Dhadakne Do,9.1/10
Tu Kamaal Di Kudi,"Mamta Sharma, Vineet Singh",BollywoodDance,Son of Sardaar,8.5/10
Tu Kamaal Di Kudi,"Mamta Sharma, Vineet Singh",BollywoodDance,Son of Sardaar,8.5/10
Sapne Mein,"Asha Bhosle, Suresh Wadkar",BollywoodDance,Satya,9.3/10
Sadka,"Mahalakshmi Iyer, Suraj Jagan",Bollywood,I Hate Luv Story,9.5/10
Dekho Dekho Jaanam,"Alka Yagnik, Udit Narayan",BollywoodDance,Ishq,9.3/10
Chhan Ke Mohalla,"Ritu Pathak, Sunidhi Chauhan",BollywoodDance,Action Replayy,9.4/10
Kaahe Chhed,"Kavita Krishnamurthy, Madhuri Dixit, Pandit Birju Maharaj",BollywoodDance,Devdas,9.2/10
Aate Jaate Jo Milta Hai,"Alka Yagnik, Sonu Nigam",BollywoodDance,Har Dil Jo Pyar Karega,9.4/10
Uff Teri Adaa I Like You,"Alyssa Mendonsa, Shankar Mahadevan",BollywoodDance,Karthik Calling Karthik,9.6/10
Pant Mein Gun,Diljit Dosanjh,BollywoodDance,Welcome To New York,9.0/10
Bachna Ae Haseeno,"Kishore Kumar, Sumit Kumar, Vishal Dadlani",BollywoodDance,Bachna Ae Haseeno,9.3/10
Ang Se Ang Lagana,"Alka Yagnik, Devki Pandit, Sudesh Bhosle, Vinod Rathod",BollywoodDance,Darr,8.0/10
Janib (Duet),"Arijit Singh, Sunidhi Chauhan",BollywoodRomantic,Dilliwaali Zaalim Girlfriend,9.6/10
Seedha Saadha,Amit Mishra,BollywoodSad,Commando 2,9.3/10
Aaya Re,"Kunal Ganjawala, Sunidhi Chauhan",BollywoodDance,Chup Chup Ke,9.0/10
Koi Fariyaad,Jagjit Singh,BollywoodSad,Tum Bin,9.4/10
Rangreli,"Shreya Ghoshal, Wajid",BollywoodDance,Daawat e Ishq,9.4/10
Loot Jayenge,"Jayesh Gandhi, Kunal Ganjawala",BollywoodDance,Aksar,8.9/10
Pyar Kiya To Darna Kya,Lata Mangeshkar,BollywoodDance,Mughal-E-Azam,8.6/10
Hum To Bhai Jaise Hain,Lata Mangeshkar,BollywoodDance,Veer Zaara,9.2/10
Jatt Jaguar,"Apeksha Dandekar., Navraj Hans, Vishal Dadlani",BollywoodDance,Mubarakan,9.2/10
Yaad Aa Raha Ha,Bappi Lahiri,BollywoodDance,Disco Dancer,8.5/10
Glamorous Ankhiyaan,"Anjjan, Krishna Beura, Meet Bros",BollywoodDance,Ek Paheli Leela,8.9/10
Kitni Mohabbat Kis Ko,"Alka Yagnik, Kumar Sanu, Udit Narayan",BollywoodRomantic,Deewane,8.5/10
Tera Mera Rishta Purana,Mustafa Zahid,BollywoodSad,Awarapan,9.1/10
Bin Tere,"Shafqat Amanat Ali, Sunidhi Chauhan",BollywoodSad,I Hate Luv Storys,9.6/10
Tere Dil Ka Rishta,Sonu Nigam,BollywoodRomantic,Koi Aap Sa,9.2/10
Om Mangalam,"Nindy Kaur, RDB",BollywoodDance,Kambakkht Ishq,9.5/10
Chhupana Bhi Nahin Aata,Vinod Rathod,BollywoodRomantic,Baazigar,9.2/10
Hum Pyar Karne Wale,"Adnan Sami, Anuradha Paudwal, Udit Narayan",BollywoodRomantic,Dil,7.8/10
Khwabon Khwabon,K.K. Suchitra,BollywoodDance,Force,9.4/10
Yeh Haseen Vadiyan Yeh Khula Aasman,"A.R. Rahman, K. S. Chithra, S.P. Balasubrahmanyam",BollywoodRomantic,Roja,9.5/10
Yeh Hawa Yeh Bata,Lata Mangeshkar,BollywoodDance,Ghazab,7.2/10
Khulke Dulke,"Gippy Grewal, Harshdeep Kaur",BollywoodDance,Befikre,9.0/10
Musu Musu,Shaan,BollywoodRomantic,Pyaar Mein Kabhi Kabhi,9.6/10
Sajh Dhaj Ke,"Mika Singh, Pankaj Kapur",BollywoodDance,Mausam,9.4/10
Dhiktana – 2,"Lata Mangeshkar, S.P. Balasubrahmanyam, Udit Narayan",BollywoodDance,Hum Aapke Hain Koun,8.2/10
Pinky,"Mamta Sharma, Meet Bros Anjjan",BollywoodDance,Zanjeer,9.3/10
Mujhe Kitna Pyar Hai Tumse,"Lata Mangeshkar, Mohammed Rafi",BollywoodRomantic,Dil Tera Deewana,8.8/10
The Disco Song (Remix),"Benny Dayal, Salim Merchant, Shahid Mallaya, Sunidhu Chauhan, Udit Narayan",BollywoodDance,Student of the Year,9.5/10
Yeh Ishq Hai Gunah,"Sukhwinder Singh, Sunidhi Chauhan",BollywoodRomantic,Madhoshi,8.0/10
Kabhi Shaam Dhale,Lucky Ali,BollywoodDance,Sur,9.0/10
In Lamhon Ke Daaman Mein,Javed Ali,BollywoodRomantic,Jodha Akbar,9.2/10
Agar Main Kahoon,"Alka Yagnik, Udit Narayan",BollywoodRomantic,Lakshay,9.6/10
Kaddu Katega,Antara Mitra,BollywoodDance,R... Rajkumar,8.9/10
Ishaqzaade,"Javed Ali, Shreya Ghoshal",BollywoodDance,Ishaqzaade,9.4/10
Race 2 (Mashup),Multiple,BollywoodDance,Race 2,9.3/10
Allah Ke Bande,Kailash Kher,BollywoodSad,Waisa Bhi Hota Hai,9.6/10
Aisa Jadoo,Sunidhi Chauhan,BollywoodDance,Khakee,9.2/10
Saanson Ki Mala,Kavita Krishnamurthy,BollywoodDance,Koyla,8.7/10
Mar Jayian,"Sunidhi Chauhan, Vishal Dadlani",Bollywood,Vicky Donor,9.6/10
Prabhu Ji,Asees Kaur,BollywoodDevotional,High Jack,9.1/10
Baby Doll (Remix),"Kanika Kapoor, Meet Bros",BollywoodDance,Ragini MMS 2,8.9/10
Aa Tayar Hoja,Sunidhi Chauhan,BollywoodDance,Asoka,9.4/10
Humko Pyaar Hua,"K.K., Tulsi Kumar",BollywoodRomantic,Ready,9.4/10
Jugni Peeke Tight Hai,"Divya Kumar, Kanika Kapoor, Sukriti Kakkar",BollywoodDance,Kis Kisko Pyaar Karoon,9.1/10
Mere Rang Mein Rangne Wali,"Asad Bhopali, S.P. Balasubrahmanyam",BollywoodRomantic,Maine Pyar Kiya,8.9/10
Toh Phir Aao,Mustafa Zahid,BollywoodSad,Awarapan,9.3/10
Ajnabi Mujhko Itna Bata,"Asha Bhosle, Jatin-Lalit, Udit Narayan",BollywoodRomantic,Pyaar To Hona Hi Tha,9.0/10
Dil Dhadakne Do,"Joi Barua, Shankar Mahadevan, Suraj Jagan",Bollywood,Zindagi Na Milegi Dobara,9.5/10
Tu Mere Paas,Ankit Tiwari,BollywoodSad,Wazir,9.6/10
Dhat Teri Ki,"Aditi Singh Sharma, Sanam Puri",BollywoodDance,Dhat Teri Ki,9.5/10
Der Se Aana Jaldi Jaana,"Alka Yagnik, Manhar Udhas",BollywoodDance,Khal Nayak,8.1/10
Jazba,Shilpa Rao,BollywoodDance,,9.4/10
Is This Love – Kahin Na Laage,"Mohit Chauhan, Shreya Ghoshal",BollywoodDance,Kismat Konnection,9.6/10
Bol Radha Bol,Mukesh,BollywoodRomantic,Sangam,8.5/10
Tu Hi Khwahish,Sunidhi Chauhan,BollywoodDance,Once Upon A Time In Mumbaai Dobara,9.3/10
Chak De India,"Marianne D'Cruz, Salim Merchant, Sukhwinder Singh",BollywoodDance,Chak De India,9.4/10
Ruk Ja O Dil Deewane,Udit Narayan,BollywoodRomantic,Dilwale Dulhania Le Jayenge,9.3/10
Nanga Punga Dost,Shreya Ghoshal,BollywoodDance,PK,8.8/10
Tanhayee,Sonu Nigam,BollywoodSad,Dil Chahta Hai,9.3/10
Beat It Bijuriya,"Asees Kaur, Renesa Baadchi",BollywoodDance,Munna Michael,8.8/10
Tum Saath Ho Jab Apne,"Asha Bhosle, Kishore Kumar",BollywoodDance,Kaalia,9.0/10
Most Wanted Munda,"Earl Edgar, Meet Bros",BollywoodDance,Ki & Ka,9.3/10
Mehram,Arijit Singh,BollywoodDance,Kahaani 2,9.1/10
Naina,Rahat Fateh Ali Khan,BollywoodSad,Omkara,9.2/10
Sab Kuchh Bhula Diya,"Sapna Awasthi, Sonu Nigam",BollywoodSad,Hum Tumhare Hain Sanam,8.7/10
Ungli Pe Nachalein,"Dev Negi, Shipra Goyal",BollywoodDance,Ungli,9.3/10
Do Me A Favour Let’s Play Holi,"Anu Malik, Sunidhi Chauhan",BollywoodDance,Waqt- The Race Against Time,8.7/10
Aise Na Mujhe Tum Dekho,Kishore Kumar,BollywoodRomantic,Darling Darling,9.3/10
Kahin Door Jab Din Dhal Jaye,Mukesh,BollywoodRomantic,Anand,9.4/10
Gilehriyaan,Jonita Gandhi,Bollywood,Dangal,9.5/10
Tanha Tanha Yahan Pe Jeena,Asha Bhosle,BollywoodDance,Rangeela,9.0/10
Khwahishein,Shreya Ghoshal,BollywoodRomantic,Heroine,9.7/10
Zindagi Kaisi Hai Paheli,Manna Dey,BollywoodDance,Anand,9.3/10
Sachi Muchi,"Harshdeep Kaur, Mohit Chauhan",BollywoodDance,Sultan,8.7/10
Saawli Saloni Teri,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Hum Sub Chor Hain,8.7/10
Soniye,"K.K., Sunidhi Chauhan",BollywoodRomantic,Aksar,9.3/10
Koi Yeh Kaise Bataye,Jagjit Singh,BollywoodSad,Arth,9.4/10
Dekho Nashe Mein,"K.K., Shaan, Sunidhi Chauhan",BollywoodDance,Race,9.3/10
Mein Sharabi,Yo Yo Honey Singh,BollywoodDance,Cocktail,9.3/10
Ho Sarkay Leo Khattiya Jada Lage,"Kumar Sanu, Poornima",BollywoodRomantic,Raja Babu,8.0/10
Nadiya Chale Chale Re Dhara,Manna Dey,BollywoodDance,Safar,8.6/10
Khatam Kahani,"Jyoti Nooran, Sultana Nooran, Vishal Mishra",Bollywood,Qarib Qarib Single,8.8/10
Jiya Jale,"Lata Mangeshkar, M.G. Sreekumar",BollywoodDance,Dil Se,9.4/10
Manva Likes To Fly,Shalmali Kholgade,BollywoodDance,Tumhari Sulu,8.8/10
Aashayein,"KK, Salim Merchant",BollywoodMotivational,Iqbal,9.5/10
Aur Kya,Abhijeet,BollywoodDanceRomance,,9.5/10
Aisa Kyoon Hota Hai,Alka Yagnik,BollywoodRomantic,Ishq Vishk,9.3/10
Aaja Shaam Hone Aayi,"Lata Mangeshkar, S.P. Balasubrahmanyam",BollywoodDance,Maine Pyar Kiya,8.7/10
Cocktail Mashup,Multiple,BollywoodDance,Cocktail,9.5/10
Teri Mehfil Mein Kismat Azmakar,"Lata Mangeshkar, Shamshad Begum.",BollywoodDance,Mughal-E-Azam,8.9/10
Pandey Jee Seeti,"Mamta Sharma, Shreya Ghoshal, Wajid",BollywoodDance,Dabangg 2,8.7/10
Ye Jawaani Teri,"Jonita Gandhi, Nakash Aziz",BollywoodDance,Meri Pyaari Bindu,9.4/10
Ghar Aaja Pardesi,,BollywoodDance,Dilwale Dulhania Le Jayenge,8.5/10
Kitaben Bahut Si,"Asha Bhosle, Vinod Rathod",BollywoodDance,Baazigar,8.8/10
Jahan Teri Yeh Nazar Hai,Kishore Kumar,BollywoodDance,Kaalia,9.3/10
Namak Paare,"Anupam Amod, Mamta Sharma",BollywoodDance,Raja Natwarlal,9.3/10
Nazdeekiyan,"Neeti Mohan, Nikhil Paul George",BollywoodRomantic,Shaandaar,9.6/10
Jhumritalaiyya,"Arijit Singh, Mohan Kanan",BollywoodDance,Jagga Jasoos,9.3/10
Pyar Dilon Ka Mela Hai,"Alka Yagnik, Sonu Nigam",BollywoodDanceRomantic,Dulhan Hum Le Jaayenge,9.1/10
Aap Ki Ankhon Mein Kuch,"Kishore Kumar, Lata Mangeshkar",BollywoodRomantic,Ghar,9.2/10
Haawa Haawa,Mohit Chauhan,BollywoodDance,Rockstar,9.5/10
Baatein Ye Kabhi Na (Female),Palak Muchhal,BollywoodRomantic,Khamoshiyan,9.5/10
Lakh Lakh,Neeraj Shridhar,BollywoodDance,Kambakkht Ishq,9.1/10
Yari Hai Imaan Mera,Manna Dey,BollywoodDance,Zanjeer,8.6/10
O Mere Sanam,"Lata Mangeshkar, Mukesh",BollywoodSad,Sangam,8.3/10
Daag,Sukhwinder Singh,BollywoodSad,Bhoomi,9.5/10
Koi Kahe Kehta Rahe,"K.K., Shaan, Shankar Mahadevan",BollywoodDance,Dil Chahta Hai,9.4/10
Mere Khayalon Ki Malika,Abhijeet,BollywoodRomance,Josh,9.4/10
Krazzy 4,Vishal Dadlani,BollywoodDance,Krazzy 4,9.3/10
Sun Zara,Adnan Sami,BollywoodRomantic,Lucky,9.4/10
Zinda Rehti Hain Mohabbatein,"Lata Mangeshkar, Udit Narayan",BollywoodSad,Mohabbatein,9.5/10
Titliyan,Sunidhi Chauhan,BollywoodDance,Rocky Handsome,9.3/10
Jeete Hain Chal,Kavita Seth,BollywoodSad,Neerja,9.6/10
Hum Tum,"Alka Yagnik, Babul Supriyo",BollywoodRomantic,Hum Tum,9.4/10
Yun Hi Chala Chal,"Hariharan, Kailash Kher, Udit Narayan",BollywoodDance,Swades,9.4/10
Dooriyan,Mohit Chauhan,BollywoodSad,Love Aj Kal,9.4/10
Yeh Hum Aa Gaye Hain Kahaan,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Veer Zaara,9.4/10
Yaar Na Miley (Remix),"Jasmine Sandlas, Yo Yo Honey Singh",BollywoodDance,Kick,9.0/10
Yaar Naa Miley (Remix),"Jasmine Sandlas, Yo Yo Honey Singh",BollywoodDance,Kick,9.0/10
Joganiyan,Shruti Haasan,BollywoodRomantic,Tevar,9.6/10
Huzur Is Kadar,"Bhupinder Singh, Suresh Wadkar",BollywoodDance,Masoom,9.4/10
Aye Zindagi Gale Lagaa Le,Suresh Wadkar,BollywoodRomantic,Sadma,9.2/10
Surmayee Ankhiyon Mein,"Ilaiyaraaja, K.J. Yesudas",BollywoodRomantic,Sadma,9.2/10
Meri Ada Bhi,"Rahat Fateh Ali Khan, Tulsi Kumar",BollywoodDanceRomantic,Ready,9.3/10
Waada Raha Sanam,"Abhijeet, Alka Yagnik",BollywoodDanceRomantic,Khiladi,9.3/10
Tumse Hi Tumse,"Caralisa Monteiro, Shekhar Ravjiani",BollywoodRomantic,Anjaana Anjaani,9.6/10
"Gori Ka Sajan, Sajan Ki Gori","Mohammad Aziz, S. Janaki",BollywoodDance,Aakhree Raasta,8.6/10
Falak Dekhun,Sonu Nigam,BollywoodDance,Garam Masala,9.2/10
Shikdum,"Shaan, Shreya Ghoshal",BollywoodDanceRomantic,Dhoom,9.2/10
Bezubaan,K.K.,BollywoodRomantic,Laali Ki Shaadi Mein Laaddoo Deewana,8.5/10
Mere Bina Tu (Duet Version),"Harshdeep Kaur, Pritam",BollywoodSad,Phata Poster Nikhla Hero,9.4/10
Alisha,"Anushka Manchanda, Salim Merchant",BollywoodDance,Pyaar Impossible,9.4/10
Aaj Kal Yaad Kuch Aur Rehta Nahin,Mohammad Aziz,BollywoodRomantic,Nagina,8.2/10
Dil Kho Gaya,"Anuradha Paudwal, Udit Narayan",BollywoodRomantic,Dil,8.4/10
Sun Soniye,"Antara Mitra, Mohammed Irfan",BollywoodRomantic,Ajab Gazabb Love,9.5/10
Baadal,Sunidhi Chauhan,BollywoodSad,Akira,9.5/10
Ae Mere Humsafar,"Alka Yagnik, Vinod Rathod",BollywoodRomantic,Baazigar,8.9/10
Idhar Chala Mein Udhar Chala,"Alka Yagnik, Udit Narayan",BollywoodDance,Koi Mil Gaya,9.2/10
Kise Dhoondta Hai Pagal Sapare,Anuradha Paudwal,BollywoodDance,Nigahen,7.2/10
Mere Dushman Mere Bhai,Hariharan,BollywoodSad,Border,9.2/10
Aye Meri Zohra Jabeen,Manna Dey,BollywoodDance,Waqt,9.0/10
Aye Dil Laaya Hai Bahaar,"Hariharan, Kavita Krishnamurthy",BollywoodDance,Kya Kehna,9.4/10
Bad Baby,"Badshah, Gippy Grewal",BollywoodDance,Second Hand Husband,8.7/10
Dil Kyun Yeh Mera,K.K.,BollywoodRomantic,Kites,9.5/10
Tum Se Milke,"Asha Bhosle, Suresh Wadkar",BollywoodRomantic,Parinda,9.4/10
Dhup Chik,"Badshah, Raftaar",BollywoodDance,Fugly,9.3/10
Aadha Ishq,"Natalie Di Luccio, Shreya Ghoshal",BollywoodRomantic,Band Baaja Baaraat,9.6/10
Pink Lips (Remix),Khushboo Grewal,BollywoodDance,Hate Story 2,9.0/10
Paathshaala,"Blaaze, Mohammed Aslam, Naresh Iyer",BollywoodDance,Rang De Basanti,9.6/10
Ala Barfi,Mohit Chauhan,BollywoodDance,Barfi,9.6/10
Kudi Tu Butter,Yo Yo Honey Singh,BollywoodDance,Bajatey Raho,9.4/10
Churiyan Kanak Gayee,"Ila Arun, Lata Mangeshkar, Moinuddin Manchala",BollywoodDance,Lamhe,8.9/10
Kapoor & Sons (Mashup),Multiple,BollywoodDance,Kapoor & Sons,9.4/10
Mujhse Dosti Karoge,"Alka Yagnik, Asha Bhosle, Udit Narayan",BollywoodRomantic,Mujhse Dosti Karoge!,9.1/10
Hum To Dil Se Haare,"Alka Yagnik, Udit Narayan",BollywoodSad,Josh,9.1/10
Soniye,K.K.,BollywoodRomantic,Heartless,9.7/10
Albela Sajan,"Kavita Krishnamurthy, Shankar Mahadevan, Ustad Sultan Khan",BollywoodDance,Hum Dil De Chuke Sanam,9.2/10
Ehsan Tera Hoga Mujh Par,Mohammed Rafi,BollywoodRomantic,Junglee,9.6/10
Rola Pe Gaya,"Earl D'Souza, Hard Kaur, Mahadevan, Mahalakshmi Iyer, Master Saleem, Shankar",BollywoodDance,Patiala House,9.3/10
Bande Mein Tha Dum… Vande Mataram,"Pranab Biswas, Shreya Ghoshal, Sonu Nigam",BollywoodDance,Lage Raho Munna Bhai,9.4/10
Jawani Janeman,Asha Bhosle,BollywoodDance,Namak Halaal,9.1/10
Yahi Hota Pyaar,"Himesh Reshammiya, Sunidhi Chauhan",BollywoodSad,Namastey London,9.3/10
Jawani Janeman,Asha Bhosle,BollywoodDance,Namak Halaal,9.1/10
Aa Aa E Ooh Ooh Ooh Mera Dil Na Todo,Abhijeet,BollywoodDance,Raja Babu,8.9/10
Main To Raste Se Ja Raha Tha,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Coolie No. 1,9.0/10
Awaarapan Banjarapan,M. M. Keeravani,BollywoodDance,Jism,9.4/10
Yeh Raat Aur Yeh Doori,"Asha Bhosle, S.P. Balasubrahmanyam",BollywoodDance,Andaz Apna Apna,9.3/10
Mere Dil Jigar Se Guzree Hai,"Alka Yagnik, Kumar Sanu",BollywoodDance,Soldier,8.5/10
Yeh Dil Jo Hai Badmaash Hai,"Mohit Chauhan, Monali Thakur, Shreya Ghoshal",BollywoodDance,Phir Se,9.4/10
Saawali Si Raat,Arijit Singh,BollywoodRomantic,Barfi,9.8/10
Aaankhein Milayenge Darr Se,"K. Mohan, Neha Bhasin",BollywoodDance,Neerja,9.6/10
Ishq Vishq,"Kamaal khan, Sunidhi Chauhan, Suzanne D'Mello",BollywoodRomantic,Wanted,9.2/10
Hoshwalon Ko Khabar Kya,Jagjit Singh,BollywoodSad,Sarfarosh,9.4/10
Ghoomar,"K.K., Sunidhi Chauhan",BollywoodDance,Chup Chup Ke,9.0/10
Dil Mere,Kumar Sanu,BollywoodDance,Sooryavansham,9.0/10
Mujhe Haq Hai,"Shreya Ghoshal, Udit Narayan",BollywoodRomantic,Vivah,9.0/10
Musafir,Tushar Joshi,BollywoodRomantic,Jagga Jasoos,9.5/10
Chalak Chalak,"Shreya Ghoshal, Udit Narayan, Vinod Rathod",BollywoodDance,Devdas,9.4/10
Subah Subah,"Shekhar Ravjiani, Vishal Dadlani, Zubeen Garg",BollywoodDance,I See You,9.5/10
Pyar Kar,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Dil To Pagal Hai,9.3/10
O Jaana Na Jaana,"Kumar Sanu, Lata Mangeshkar",BollywoodRomantic,Jab Pyar Kisisi Se Hota Hai,9.3/10
Mhare Hiwra Main Nache Mor,"Alka Yagnik, Anuradha Paudwal, Hariharan, Kavita Krishnamurthy, Kumar Sanu, Udit Narayan",BollywoodDance,Hum Saath-Saath Hain,8.6/10
Raitaa Phail Gayaa,Divya Kumar,BollywoodDance,Shaandaar,9.2/10
Tere Bina,Rahat Fateh Ali Khan,BollywoodRomantic,Tezz,9.2/10
Sava Dollar (Lavni),Sunidhi Chauhan,BollywoodDance,Aiyyaa,9.1/10
Baba Meri Yeh Jawani,Falguni Pathak,BollywoodDance,Ghaath,8.6/10
Deewana Main Chala,Udit Narayan,BollywoodDance,Pyaar Kiya To Darna Kya,9.2/10
Zindagi Ki Yahi Reet Hai,Kishore Kumar,BollywoodDance,Mr. India,9.1/10
Chak De,"Sadhana Sargam, Sonu Nigam",BollywoodDance,Hum Tum,9.3/10
Sirf Tum,"Anuradha Paudwal, Hariharan",BollywoodDance,Sirf Tum,8.6/10
Chhaliya,"Piyush Mishra, Sunidhi Chauhan",Bollywood,Tashan,9.4/10
Dum Dum Diga Diga,Mukesh,BollywoodDance,Chhalia,9.2/10
Aankhon Ne Tumhari,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Ishq Vishk,9.3/10
Janam Janam,Atif Aslam,Bollywood,Phata Poster Nikhla Hero,9.6/10
Tanha Tanha,"Aditi Paul, Jubin Nautiyal",BollywoodRomantic,Dil Jo Na Keh Saka,9.0/10
Heer,"Mahalakshmi, Mika Singh",BollywoodRomantic,Baa Baaa Black Sheep,8.0/10
Wat Wat Wat,"Arijit Singh, Shashwat Singh",BollywoodDance,Tamasha,9.5/10
Tanha Tanha Ghum Ke Dhunde Dil,"Aditi Paul, Jubin Nautiyal",BollywoodRomantic,Dil Jo Na Keh Saka,9.0/10
Pyar Ki Raahen,Shaan,BollywoodSad,Bewafaa,9.4/10
Aap Ki Khatir,Himesh Reshammiya,BollywoodRomantic,Aap Ki Khatir,9.3/10
Saat Rang Mein Khel Rahi Hain,"Amit Kumar, Anuradha Paudwal",BollywoodDance,Aakhir Kyon,7.8/10
Jaadoo Jaadoo,"Adnan Sami, Alka Yagnik",BollywoodDance,Koi Mil Gaya,8.2/10
Yaadon Mein,"Cuca Roseta, Jonita Gandhi, Mohammed Irfan",BollywoodSad,Jab Harry Met Sejal,9.6/10
Dil Deewana Bin Sajna Ke,S.P. Balasubrahmanyam,BollywoodDance,Maine Pyar Kiya,9.0/10
Chori Chori Chupke Chupke,"Alka Yagnik, Babul Supriyo",BollywoodDance,Chori Chori Chupke Chupke,8.8/10
Behene De,"Karthik, Mohammed Irfan",BollywoodDance,Raavan,9.3/10
O Re Kanchi,"Alka Yagnik, Shaan",BollywoodDance,Asoka,9.4/10
Rasiya,Shruti Pathak,BollywoodSensual,Kurbaan,8.5/10
Meri Zindagi Ek Pyaas,"Jaspinder Narula, Shankar Mahadevan",BollywoodSad,Judaai,8.6/10
Tum Jo Aaye,Rahat Fateh Ali Khan,BollywoodRomantic,Once Upon A Time In Mumbai,9.4/10
Laal Ishq,Arijit Singh,BollywoodSad,Goliyon Ki Rasleela Ram-leela,9.5/10
Tujhe Jeevan Ki Dor Se,"Lata Mangeshkar, Mohammed Rafi",BollywoodRomantic,Asli Naqli,9.0/10
Aao Bachho Tumhe Dikhaye,Kavi Pradeep,BollywoodPatriotic,Jagriti,9.3/10
Mujhse Mohabbat Ka,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Hum Hain Rahi Pyaar Ke,8.8/10
Mujhe Pyaar Hua,"Abhijeet, Alka Yagnik",BollywoodDance,Judaai,7.7/10
Satarangi Re,"Kavita Krishnamurthy, Sonu Nigam",BollywoodDance,Dil Se,9.4/10
Mann Ki Lagan,Rahat Fateh Ali Khan,BollywoodSad,Paap,9.2/10
Dil Na Jaane Kyun,"Anushka Manchanda, Atif Aslam",BollywoodDance,Jayantabhai Ki Luv Story,9.5/10
Usne Bola Kem Che,"Bali Brahmbhatt, Sunidhi Chauhan",BollywoodDance,Jis Desh Main Ganga Rehta Hai,8.9/10
Sajna Ve Sajna,Sunidhi Chauhan,BollywoodDance,Chameli,9.4/10
Mera Yaar,Javed Bashir,BollywoodRomantic,Bhaag Milkha Bhaag,9.5/10
Jiyein Kyun,Papon,BollywoodSad,Dum Maaro Dum,9.7/10
Dil Ki Hai Tamanna,"Neha Bhasin, Shalini Singh, Vijay Prakash",BollywoodDance,Force,9.6/10
Dum Duma Dum,"Anuradha Paudwal, Udit Narayan",BollywoodDance,Dil,8.7/10
Dil Chahta Hai,Shankar Mahadevan,BollywoodDance,Dil Chahta Hai,9.5/10
Aai Pappi – Tu Hai Meri Soniye,Neeraj Shridhar,BollywoodDance,Kismat Konnection,9.5/10
Where’s the Party Tonight,"Loy Mendonsa, Shaan, Shankar Mahadevan, Vasundhara Das",BollywoodDance,Kabhi Alvida Naa Kehna,9.3/10
Prem Jaal Mein,"Anuradha Sriram, Sukhwinder Singh",BollywoodDanceRomantic,Jis Desh Mein Ganga Rehta Hai,8.7/10
Boi Boi,"Arun Bakshi, Vinod Rathod",BollywoodDance,Laadla,8.4/10
Jeevan Se Bhari Teri Ankhen,Kishore Kumar,BollywoodRomantic,Safar,9.1/10
Teri Pyari Pyari Soorat Ko,Mohammed Rafi,BollywoodRomantic,Sasural,9.1/10
Bas Ek Kinng,"Hard Kaur, Jaaved Jaffrey, Neeraj Shridhar",BollywoodDance,Singh Is Kingh,9.3/10
Jeena Yahan Marna Yahan,Mukesh,BollywoodSad,Mera Naam Joker,8.8/10
Banarasiya,"Anwesshaa, Meenal Jain, Shreya Ghoshal",BollywoodRomantic,Raanjhanaa,9.3/10
What’s Going On?,"Kunal Ganjawala, Sunidhi Chauhan",BollywoodDance,Salaam Namaste,9.5/10
Aye Watan Aye Watan,"Jaspinder Narula, Sukhwinder Singh, Udit Narayan",BollywoodPatriotic,Hindustan Ki Kasam,8.9/10
Dulhan Hum Le Jayenge,"Alka Yagnik, Kumar Sanu, Sunita Rao",BollywoodRomantic,Dulhan Hum Le Jayenge,8.6/10
Aa Bhi Ja Sanam,Atif Aslam,BollywoodSad,Prince,9.4/10
Salaam Namaste,"Kunal Ganjawala, Vasundhara Das",BollywoodDance,Salaam Namaste,9.2/10
Mar Jaava,"Merchant, Shruti Pathak",BollywoodSensual,Faraar,9.5/10
Koi Jaye To Le Aaye,"Alka Yagnik, Anu Malik, Shankar Mahadevan",BollywoodDance,Ghatak,9.0/10
Tumhi Dekho Naa,"Alka Yagnik, Sonu Nigam",BollywoodRomantic,Kabhi Alvida Naa Kehna,9.7/10
Sau Dard,"Sonu Nigam, Suzanne",BollywoodSad,Jaan-E-Mann,9.6/10
Piya Milenge,Sukhwinder Singh,BollywoodSad,Raanjhanna,9.4/10
Chandan Sa Badan,Mukesh,BollywoodRomantic,Saraswatichandra,9.1/10
Kyun (Duet),"Shaan, Shreya Ghoshal",BollywoodSad,Kambakkht Ishq,9.4/10
Alcoholic,Yo Yo Honey Singh,BollywoodDance,The Shaukeens,9.2/10
Jis Gali Mein Tera Ghar,Mukesh,BollywoodRomantic,Kati Patang,8.9/10
Kurbaan Hua,Vishal Dadlani,BollywoodDance,Kurbaan,9.7/10
Nagada Nagada,"Javed Ali, Sonu Nigam",BollywoodDance,Jab We Met,9.2/10
Main Tujhse Pyaar Nahin Karta,Papon,BollywoodSad,Baby,9.4/10
